company_id,profit_margin,de_ratio,free_cash_flow,interest_coverage,profit_score,fcf_score,interest_score,de_score,health_score,health_label
ABB,13.646582446130013,0.019970230689180475,56.391304347826086,128.37920653907494,0.07550770078830178,0.47782844833888705,0.2879518015350443,0.9997612451742167,42.35434540800088,AVERAGE
ADANIENSOL,10.199100838237918,3.0047222401451723,-205.63636363636363,2.0076283032786995,0.06999633314078543,0.47486310168194323,0.24218918143884158,0.9640769330039917,40.471105333538524,AVERAGE
ADANIENT,2.8360746948807125,1.7773294072252876,-2613.25,1.8112897836917567,0.05822532209857478,0.4476163261687787,0.2421180818671852,0.9787510730553767,39.59263254647184,WEAK
ADANIGREEN,1.664185268412926,8.294497608037105,-5144.875,1.427149834964772,0.05635186367120695,0.41896612373733805,0.2419789742388499,0.9008348294924752,37.115815696882855,WEAK
ADANIPORTS,35.93529274663004,1.2759998688472922,585.6666666666666,4.348701898928803,0.11113987836796682,0.48381821628335314,0.24303694850063365,0.9847447367470198,42.40437654449266,AVERAGE
ADANIPOWER,2.004204346587545,10.188930282240213,5050.083333333333,2.089575222290082,0.056895440217837386,0.5343416710755509,0.24221885666942053,0.8781858701425629,40.145207875041315,AVERAGE
AMBUJACEM,11.314275643200956,0.008702107456848178,43.416666666666664,26.162857662550515,0.07177912389660229,0.47768161537743353,0.2509364535702573,0.9998959616349884,41.500470482325994,AVERAGE
APOLLOHOSP,4.530434393938071,0.8172603355001778,182.08333333333334,4.496437298910416,0.06093403538286406,0.479250895215677,0.24309044754748027,0.9902292140707373,40.87194115032059,AVERAGE
ASIANPAINT,12.464459033776278,0.0963884072225765,1616.0833333333333,49.18665805864881,0.07361788164748219,0.4954793612352043,0.2592740041920552,0.9988476248606167,42.23534986753403,AVERAGE
ATGL,16.707488789511864,0.4956492254849686,0.0,10.832225866030285,0.08040106415081354,0.4771902723511566,0.2453848106412605,0.9940742474975803,41.51692125783592,AVERAGE
AXISBANK,14.284209924104221,9.004988362441928,-9267.666666666666,1.8568930198641038,0.07652705342102639,0.372308812392784,0.24213459605179258,0.8923405312077539,36.15457851960524,WEAK
BAJAJ-AUTO,16.812154339167,0.02389567529200182,2930.75,2094.6707875457873,0.08056838928544466,0.5103573412400895,1.0,0.9997143143772291,57.7220582033106,GOOD
BAJAJFINSV,16.57380492285194,3.4511297846622915,-24225.416666666668,2.3788275848479286,0.08018734845294942,0.20303312368735493,0.24232360289609947,0.9587398912252356,32.517884046635835,WEAK
BAJAJHLDNG,591.936836700258,0.001263327277933323,686.3333333333334,307.62881562881563,0.9999999999999999,0.484957453089001,0.35286300924237246,0.9999848962443727,71.60568170240494,EXCELLENT
BAJFINANCE,21.028555722131642,4.3574335602822325,-28298.5,531.1840175437078,0.08730900194536921,0.15693835766943087,0.43381848925285466,0.9479045431803004,34.96188143710711,WEAK
BANKBARODA,6.782138789150854,14.142868675584618,855.25,2.691773431729946,0.06453375603899077,0.48686906981503436,0.2424369291843478,0.8309144145968621,38.00911165124495,WEAK
BEL,16.397807356583666,1.66143530422806,930.3333333333334,280.4679382751751,0.07990598733109396,0.48771878203514096,0.34302730940253195,0.980136649256327,43.49202225416423,AVERAGE
BHARTIARTL,0.8662740913769528,2.0379676248026604,7731.833333333333,3.8696807607129844,0.05507627112369614,0.5646908264087918,0.24286348178705572,0.9756350032813865,42.96298262734348,AVERAGE
BHEL,1.2438768889704184,0.14593637361691575,297.0,10.779024072809323,0.055679931441275254,0.48055139815854825,0.24536554481040204,0.998255252330298,40.95935583080871,AVERAGE
BOSCHLTD,11.394408869951896,0.009345139595596661,875.0,174.26522844720952,0.07190723006906023,0.487092579022765,0.3045683906259067,0.9998882738406584,42.85912756208606,AVERAGE
BPCL,3.2443696819884287,1.217929005435939,6216.333333333333,9.217523797019506,0.058878048940521434,0.5475400312535661,0.24480008266378114,0.9854390050853609,42.797324160805466,AVERAGE
BRITANNIA,10.382522057744499,0.4105674293542727,883.25,100.8012260122969,0.07028956219608841,0.48718594362852585,0.2779650571777602,0.9950914460331748,42.18539523895713,AVERAGE
CANBK,4.773663804808068,15.716221553031241,5623.833333333333,2.233896441699554,0.061322877691094096,0.5408347550216484,0.24227111934768933,0.8121041365386324,39.15223409910871,WEAK
CHOLAFIN,15.561529565819617,6.984810744752756,-9581.5,447.611072414303,0.07856905942702559,0.36875718506656713,0.4035544299471966,0.9164928388435434,39.82073271062258,WEAK
CIPLA,12.227890991012202,0.16575528716030638,568.25,52.82550086240196,0.07323968863425727,0.48362111322674683,0.26059172913577033,0.9980183065822036,41.878024770189604,AVERAGE
COALINDIA,18.640942997448892,0.07940610497473223,13647.583333333334,12.448090287994287,0.08349200942088676,0.6316389072002973,0.24596995953867581,0.999050657398282,46.35433983737468,AVERAGE
DABUR,15.426283295306536,0.18646569725441903,746.8333333333334,31.62344999421511,0.078352845969049,0.4856421268645808,0.2529138840642243,0.9977707025143847,41.93354091658108,AVERAGE
DIVISLAB,26.459194044161492,0.005899642339662531,467.25,692.8146520146521,0.09599077251228984,0.48247810411379544,0.4923493822310262,0.9999294666095293,47.19964327559367,AVERAGE
DLF,22.176538356856888,0.532218285557715,2362.9166666666665,2.1929824805285154,0.08914424142524097,0.5039312157486285,0.24225630327838132,0.9936370447580317,42.510130675944346,AVERAGE
DMART,4.389540920809787,0.2846018688317441,-337.1666666666667,31.05555342472307,0.06070879394059855,0.4733745835136968,0.25270823311543966,0.9965974319141266,41.008614624220186,AVERAGE
DRREDDY,13.28461914370613,0.2850898224337605,927.25,34.6872090251855,0.0749290427818311,0.48768388819258385,0.2540233553754,0.996591598166933,41.890687000079105,AVERAGE
EICHERMOT,17.99531435863411,0.02023935882915579,272.6666666666667,256.7020845115221,0.08245986561361364,0.4802760197253949,0.3344210408710222,0.9997580276028639,43.565657929647976,AVERAGE
GAIL,8.18064085366812,0.2662558136175538,2092.5,27.073124719085342,0.06676949212405664,0.5008709314486887,0.2512660862778315,0.9968167688504219,41.99086980974743,AVERAGE
GODREJCP,11.528155532465101,0.45446759814902526,501.0833333333333,12.136313869139363,0.07212104615644736,0.48286099330509763,0.24585705673244204,0.9945665959542958,41.45793423758111,AVERAGE
GRASIM,9.073992609580513,1.0056679949601588,-3365.8333333333335,6.136731528092569,0.06819766216972599,0.43909939935436965,0.24368444314921275,0.9879766993847159,39.85213469640144,WEAK
HAL,17.283184440289343,0.18655166776908788,2062.5,154.26709740086667,0.08132140854866252,0.5005314237913764,0.29732651799533577,0.9977696746907421,43.35750882392272,AVERAGE
HAVELLS,8.128575302421583,0.15728831542547878,443.25,28.35549118873327,0.06668625675768562,0.4822064979879456,0.2517304664050236,0.9981195337734626,41.463782645938664,AVERAGE
HCLTECH,16.629068023304896,0.07283241582827268,7456.416666666667,73.14489766776407,0.0802756956288243,0.5615739574992998,0.2679499409233349,0.9991292493800845,44.59707339991211,AVERAGE
HDFCBANK,22.500597371760236,7.94284957789571,-2583.0,1.7389243124231004,0.08966230317980863,0.4479586630565686,0.24209187634205065,0.9050389704200483,39.0712459223333,WEAK
HDFCLIFE,2.9182051249641954,0.02358809902097877,513.8,184.79681052074568,0.05835662112978716,0.48300490682872504,0.3083821658131085,0.9997179916166233,42.40284898735,AVERAGE
HEROMOTOCO,10.015027068769642,0.030580083133965052,2109.090909090909,45.79187324591936,0.06970206087679963,0.5010586894712932,0.25804465935152926,0.9996343986939998,42.27640367135337,AVERAGE
HINDALCO,3.4481268193890466,1.1236078059402814,5192.583333333333,69.38275156797948,0.05920378831283586,0.5359543324477842,0.2665875644688001,0.9865666656469116,42.91782822513284,AVERAGE
HINDUNILVR,15.343146086484357,0.01692129741031845,6001.75,76.81766620386335,0.0782199374360612,0.5451116084269573,0.2692799513067234,0.9997976968079083,44.081499338183185,AVERAGE
ICICIBANK,21.568470432419442,7.113696999986769,7152.75,1.2453288589183027,0.08817214461156542,0.5581373855458387,0.24191313186852823,0.9149519344897977,42.52658723188864,AVERAGE
ICICIGI,10.340543264438672,0.038291972258577174,244.16666666666666,-666.7877559147165,0.07022245217502901,0.47995348745094824,0.0,0.9995421989205938,36.49612216719119,WEAK
ICICIPRULI,3.843261920672158,0.05261952604250482,1046.75,147.18042130913744,0.05983547690796121,0.48903626036087783,0.2947602379008866,0.9993709053256011,42.348774982594925,AVERAGE
INDIGO,2.219071590600798,0.6274125331532372,2378.8333333333335,24.65445016648164,0.0572389409270086,0.5041113434223693,0.2503902177777117,0.9924989464378877,41.69829181479333,AVERAGE
INDUSINDBK,17.089880148592542,7.686689663097972,-639.0,1.69004456390191,0.08101237977329648,0.46995875925040487,0.242074175642311,0.9081014996808316,39.53264767717389,WEAK
INFY,19.87940983243869,0.03964764843649459,12539.25,639.8052721421742,0.08547190281067577,0.61909598541626,0.473153229531935,0.9995259910843042,50.59062105913286,AVERAGE
IOC,3.045960488404651,0.9655921404316063,9725.5,6.388653562667226,0.05856085913797567,0.587252996390845,0.24377567103860884,0.9884558277340578,44.01904564131796,AVERAGE
IRCTC,21.461523777407127,0.015891253503146564,261.6,90.19166002126528,0.08800117275399388,0.4801507791229197,0.27412304187169795,0.9998100115356365,42.5232196244541,AVERAGE
IRFC,19.37306388271311,8.573979646907306,-38150.666666666664,1.3556641518227457,0.08466242534185331,0.045442156854423876,0.24195308730916512,0.8974934717215718,26.692068646503053,WEAK
ITC,26.582385776496892,0.003914013418237162,9202.833333333334,280.44942030177634,0.09618771480386887,0.5813380185390042,0.3430206035356478,0.9999532058689592,47.18524818837833,AVERAGE
JINDALSTEL,2.5808707000653994,1.0833118292950388,2812.1666666666665,4.127036638197828,0.05781733644396761,0.5090153429168801,0.24295667742024538,0.9870484256742966,41.605082442716274,AVERAGE
JIOFIN,79.02276800171416,0.002170230167075567,854.0,155.9,0.1800223102830219,0.4868549236626464,0.29791783688476836,0.999974053733604,45.9641548307375,AVERAGE
JSWENERGY,12.113250757322906,1.171034976970551,1261.0,2.8824175275463113,0.07305641732292888,0.49146091088018307,0.2425059666487225,0.9859996483633876,41.50563214633556,AVERAGE
JSWSTEEL,5.230496740274183,1.4797434435200776,3402.5,3.6528592919837917,0.06205320044469025,0.5156960991513252,0.24278496477681752,0.9823088729639424,41.834355742695664,AVERAGE
KOTAKBANK,26.827545811534783,4.653248685340162,1055.0833333333333,1.2753734801800087,0.09657964353308346,0.48913056804346455,0.24192401185125798,0.9443679145981606,41.29714487628481,AVERAGE
LICI,2.2776605512001367,83.64325463855985,46197.166666666664,350.16634537337666,0.057332605038576186,1.0,0.36826701733269684,0.0,39.08531849781122,WEAK
LODHA,10.33925888316905,3.3856815516995065,1486.0,3.5462669795577173,0.07022039887984674,0.4940072183100252,0.24274636477223716,0.9595223599759508,40.97220301065992,AVERAGE
LT,6.711370689294926,0.0753339000387082,282.1666666666667,2.5123482216100514,0.06442062156566122,0.4803835304835438,0.24237195438668344,0.9990993427938183,41.17355050508619,AVERAGE
LTIM,14.929051158351529,0.0753339000387082,977.0,92.28571656993371,0.07755793843229934,0.48824690505762675,0.27488135727484875,0.9990993427938183,42.45375930607113,AVERAGE
